REG_ID	REG_ID_GROUP	STATION_NAME	SYNONYM_NAMES	ICES_STATION_NAME	LAT_DM	LONG_DM	LATITUDE_WGS84_SWEREF99_DD	LONGITUDE_WGS84_SWEREF99_DD	LATITUDE_SWEREF99TM	LONGITUDE_SWEREF99TM	OUT_OF_BOUNDS_RADIUS	WADEP	EU_CD	MEDIA	COMNT	OLD_SHARK_ID
00157221	00264836	ÖVF 4:10			5542.95	1258.95	55.7158	12.9825	6176297	373261	1200			Biota;Vatten	VAL-2018-05-14	
00157222	00264837	KF1	KF 1		6450.70	2102.10	64.845	21.0351	7204822	785903	1200			Biota;Vatten	VAL-2018-05-14	
00157223	00264838	L9 LAHOLMSBUKTEN	L9<or>L9 LAHOLMSBUKTEN<or>LAHOLMSBUKTEN (L9)	L9	5633.90	1243.20	56.565	12.72	6271292	359897	1200	20	SE627510-131035	Biota;Vatten	VAL-2018-05-14	KAEL60
00157224	00264839	HAE 24		HAE 24	5829.21	1726.14	58.4868	17.4357	6485486	641992	1200			Biota;Vatten	VAL-2018-05-14	
00157225	00264840	IS3			5827.99	1630.46	58.4665	16.5077	6481635	587950	1200			Biota;Vatten	VAL-2018-05-14	
00157226	00264841	NYA OBBOLABRON	U9<or>Österfjärden		6342.63	2020.16	63.7105	20.336	7075765	763460	1200	16		Biota;Vatten	VAL-2018-05-14	GBQU04
00157227	00264842	K627			6042.69	1716.47	60.7115	17.2745	6732803	624115	1200	14		Biota;Vatten	VAL-2018-05-14	GBSG62
00157228	00264843	ÖVF 4:3 LOMMA			5538.55	1259.05	55.6425	12.9842	6168135	373128	1200	12		Biota;Vatten	VAL-2018-05-14	SOCX53
00157229	00264844	K337 / H			6117.75	1708.00	61.2958	17.1333	6797606	614294	1200	4		Biota;Vatten	VAL-2018-05-14	GBSL04
00157230	00264845	SUNDSVALL 135			6227.75	1722.19	62.4625	17.3698	6927947	622220	1200	50		Biota;Vatten	VAL-2018-05-14	GBSY08
00157231	00264846	K525			6057.28	1712.75	60.9547	17.2125	6759761	619820	1200			Biota;Vatten	VAL-2018-05-14	GBSG54
00157232	00264847	VD9B			6515.00	2140.58	65.25	21.6763	7252820	811429	1200			Biota;Vatten	VAL-2018-05-14	
00157233	00264848	KF5	KF 5		6448.80	2105.12	64.8134	21.0853	7201544	788617	1200			Biota;Vatten		
00157234	00264849	R 6-17			6506.82	2135.70	65.1137	21.595	7237291	809234	1200			Biota;Vatten	VAL-2018-05-14	
00157235	00264850	BV 42			6546.13	2339.65	65.7688	23.6608	7321481	895636	1200			Biota;Vatten	VAL-2018-05-14	
00157236	00264851	FARSTAVIKEN			5919.52	1822.64	59.3253	18.3773	6581152	692149	1200	17		Biota;Vatten	VAL-2018-05-14	BPNS70
00157237	00264852	K8 KRÄKLINGEOMRÅDET	K8		5608.58	1543.78	56.143	15.7297	6222235	545339	1200			Biota;Vatten	VAL-2018-05-14	
00157238	00264853	K4			6547.17	2317.11	65.7862	23.2852	7321080	878302	1200			Biota;Vatten	VAL-2018-05-14	
00157239	00264854	R 3-20			6143.76	1728.04	61.7293	17.4673	6846501	630355	1200			Biota;Vatten	VAL-2018-05-14	
00157240	00264855	G10 GALTFJÄRDEN	G10		6011.33	1834.70	60.1888	18.5783	6677819	698387	1200			Biota;Vatten	VAL-2018-05-14	
00157241	00264856	VD4			6515.20	2139.45	65.2533	21.6575	7253097	810514	1200			Biota;Vatten	VAL-2018-05-14	
00157242	00264857	H112			5748.09	1635.24	57.8015	16.5873	6407717	594339	1200			Biota;Vatten	VAL-2018-05-14	
00157243	00264858	S24 SPILLERSBODA	S24<or>S24 / SPILLERSBODA		5941.42	1851.49	59.6903	18.8582	6623240	717127	1200	5		Biota;Vatten	VAL-2018-05-14	BPNS52
00157244	00264859	S36 VETTERSHAGAFJÄRDEN	S36<or>S36 / VETTERSHAGAFJ		5936.12	1841.66	59.602	18.6943	6612888	708461	1200	5		Biota;Vatten		BPNS26
00157245	00264860	R 9-15			6544.78	2331.97	65.7463	23.5328	7318190	890159	1200			Biota;Vatten	VAL-2018-05-14	
00157246	00264861	36 KRAMFORSFJÄRDEN SEK NAMN	36		6256.40	1750.83	62.94	17.8472	6982102	644477	1200			Biota;Vatten	VAL-2018-05-14	
