scientific_name	authority	rank	aphia_id	url	parent_name	parent_id	status	valid_aphia_id	valid_name	valid_authority	kingdom	phylum	class	order	family	genus	classification
Inachinae	MacLeay, 1838	Subfamily	148436	https://www.marinespecies.org/aphia.php?p=taxdetails&id=148436	Inachidae	148427	accepted	148436	Inachinae	MacLeay, 1838	Animalia	Arthropoda	Malacostraca	Decapoda	Inachidae		[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Brachyura - [Section] Eubrachyura - [Subsection] Heterotremata - [Superfamily] Majoidea - [Family] Inachidae - [Subfamily] Inachinae
Polybiidae	Ortmann, 1893	Family	557512	https://www.marinespecies.org/aphia.php?p=taxdetails&id=557512	Portunoidea	106702	accepted	557512	Polybiidae	Ortmann, 1893	Animalia	Arthropoda	Malacostraca	Decapoda	Polybiidae		[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Brachyura - [Section] Eubrachyura - [Subsection] Heterotremata - [Superfamily] Portunoidea - [Family] Polybiidae
Palaemonoidea	Rafinesque, 1815	Superfamily	106715	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106715	Caridea	106674	accepted	106715	Palaemonoidea	Rafinesque, 1815	Animalia	Arthropoda	Malacostraca	Decapoda			[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Caridea - [Superfamily] Palaemonoidea
Palaemonidae	Rafinesque, 1815	Family	106788	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106788	Palaemonoidea	106715	accepted	106788	Palaemonidae	Rafinesque, 1815	Animalia	Arthropoda	Malacostraca	Decapoda	Palaemonidae		[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Caridea - [Superfamily] Palaemonoidea - [Family] Palaemonidae
Pasiphaeoidea	Dana, 1852	Superfamily	106717	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106717	Caridea	106674	accepted	106717	Pasiphaeoidea	Dana, 1852	Animalia	Arthropoda	Malacostraca	Decapoda			[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Caridea - [Superfamily] Pasiphaeoidea
Pasiphaeidae	Dana, 1852	Family	106790	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106790	Pasiphaeoidea	106717	accepted	106790	Pasiphaeidae	Dana, 1852	Animalia	Arthropoda	Malacostraca	Decapoda	Pasiphaeidae		[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Caridea - [Superfamily] Pasiphaeoidea - [Family] Pasiphaeidae
Processoidea	Ortmann, 1896	Superfamily	106718	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106718	Caridea	106674	accepted	106718	Processoidea	Ortmann, 1896	Animalia	Arthropoda	Malacostraca	Decapoda			[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Caridea - [Superfamily] Processoidea
Processidae	Ortmann, 1896	Family	106791	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106791	Processoidea	106718	accepted	106791	Processidae	Ortmann, 1896	Animalia	Arthropoda	Malacostraca	Decapoda	Processidae		[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Caridea - [Superfamily] Processoidea - [Family] Processidae
Gebiidea	de Saint Laurent, 1979	Infraorder	477323	https://www.marinespecies.org/aphia.php?p=taxdetails&id=477323	Pleocyemata	106670	accepted	477323	Gebiidea	de Saint Laurent, 1979	Animalia	Arthropoda	Malacostraca	Decapoda			[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Gebiidea
Upogebiidae	Borradaile, 1903	Family	106803	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106803	Gebiidea	477323	accepted	106803	Upogebiidae	Borradaile, 1903	Animalia	Arthropoda	Malacostraca	Decapoda	Upogebiidae		[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Gebiidea - [Family] Upogebiidae
